ID	GRAPHEME	FREQUENCY
932	ɡǂx	0.000926
933	d̠ʒʼ	0.000926
934	o̞a	0.000926
935	kǂʰ	0.000926
936	ŋ̤ǃ	0.000926
937	dz̤	0.000926
938	ẽ̞ĩ	0.000926
939	ŋ̥ǀ͓ʰ	0.000926
940	ŋǂ	0.000926
941	ŋ̥ǃˀ	0.000926
942	kǂx	0.000926
943	b̪	0.000926
944	ts͇	0.000926
945	ɲɟʑ	0.000926
946	n̪ʷ	0.000926
947	ɨə	0.000926
948	ŋ̤	0.000926
949	kʷˀ	0.000926
950	ɰ̰	0.000926
951	ɬ̪ʼ	0.000926
952	ɓʲ	0.000926
953	uʌ	0.000926
954	n̪z̪	0.000926
955	ðʲ	0.000926
956	nzʷ	0.000926
957	n̠d̠ʒʷ	0.000926
958	˨˦˧	0.000926
959	ɡv	0.000926
960	kf	0.000926
961	ɠ̥	0.000926
962	ɗʒ	0.000926
963	eˠ	0.000926
964	nh	0.000926
965	nl	0.000926
966	r̝	0.000926
967	˨˥˩	0.000926
968	dʲʷ	0.000926
969	tʰʷ	0.000926
970	cʷʰ	0.000926
971	uaː	0.000926
972	mʼ	0.000926
973	nʼ	0.000926
974	wʰ	0.000926
975	ɾʰ	0.000926
976	ɗʰ	0.000926
977	ˀp	0.000926
978	ɾ̥	0.000926
979	ɟʰ	0.000926
980	dzʰ	0.000926
981	k̃	0.000926
982	ɡ̃	0.000926
983	ntʰ	0.000926
984	ṽ	0.000926
985	nɟ	0.000926
986	ju	0.000926
987	wə	0.000926
988	ʉ̃	0.000926
989	æ̤ː	0.000926
990	æ̤	0.000926
991	ɵ̤	0.000926
992	ʊ̤ː	0.000926
993	ay	0.000926
994	vʰ	0.000926
995	s̰	0.000926
996	iã	0.000926
997	ʌi	0.000926
998	lʰ	0.000926
999	ʊa	0.000926
1000	w̥	0.000926
1001	ts̪	0.000926
1002	uai	0.000926
1003	iau	0.000926
1004	˧˨˧	0.000926
1005	ɔu	0.000926
1006	ⱱ̟	0.000926
1007	wa	0.000926
1008	aʊ	0.000926
1009	io	0.000926
1010	ɥ̥	0.000926
1011	ʊu	0.000926
1012	ʊɪ	0.000926
1013	ɔɪ	0.000926
1014	ɲj	0.000926
1015	ʰn̪	0.000926
1016	ɛə	0.000926
1017	iɔ	0.000926
1018	ɑi	0.000926
1019	ɡbː	0.000926
1020	kpː	0.000926
1021	ə̰̃	0.000926
1022	t̪s	0.000926
1023	ɲʰ	0.000926
1024	uj	0.000926
1025	aj	0.000926
1026	aw	0.000926
1027	t̪n̪	0.000926
1028	tn	0.000926
1029	pm	0.000926
1030	kŋ	0.000926
1031	ʈɳ	0.000926
1032	tl	0.000926
1033	nd̪	0.000926
1034	eɪ	0.000926
1035	˥˧	0.000926
1036	tɕᶣ	0.000926
1037	ɕᶣ	0.000926
1038	sᶣ	0.000926
1039	dʑᶣ	0.000926
1040	ɲᶣ	0.000926
1041	ʙ	0.000926
1042	ɦʷ	0.000926
1043	i̤ˑ	0.000926
1044	ɔ̤ˑ	0.000926
1045	ṳˑ	0.000926
1046	e̤ˑ	0.000926
1047	a̤ˑ	0.000926
1048	ɛ̤ˑ	0.000926
1049	ɗʷ	0.000926
1050	ɓʷ	0.000926
1051	m̤b̤	0.000926
1052	n̤d̤ɮ̤	0.000926
1053	ɦ̤	0.000926
1054	mbv	0.000926
1055	n̤d̤	0.000926
1056	ntsʼ	0.000926
1057	n̠t̠ʃʼ	0.000926
1058	z̤	0.000926
1059	ɪ̤	0.000926
1060	kᶣ	0.000926
1061	mɓ	0.000926
1062	dx	0.000926
1063	kǁxʼ	0.000926
1064	ɡǁx	0.000926
1065	kǁx	0.000926
1066	kʘ	0.000926
1067	ɡǀx	0.000926
1068	kǀx	0.000926
1069	kǃxʼ	0.000926
1070	kǀxʼ	0.000926
1071	oˤ	0.000926
1072	bβ	0.000926
1073	tɾ	0.000926
1074	dɾ	0.000926
1075	ndɾ	0.000926
1076	u̞ː	0.000926
1077	ɔ̝ː	0.000926
1078	ɛ̝ː	0.000926
